Player,Profit
Not10crabs,2912000
RancorSweetly,1589000
qunterogerardo,1408000
larry hawkens,918666
cyan,621333
Gho$t,432000
bob,400000
mchammerbooya,304000
Donnie Deru,298666
Pay Load,270666
semen semenov,223999
sand which,176000
ball1344,168000
pluh,167999
bananabread,144000
LLA TJ,132533
ManowSoda,130666
kennethadefunmi,126933
Skyv004,112000
jhoseph,104533
Taaaaax,95200
redclusterbomb,93333
Penguin,89600
Schwaggyy,89000
wilmotian,84000
diskaykay,46667
Mrs. Portal,37333
Ahutao,35467
Khangowang,26133
Al0yalDem0n,26133
GCF Meteorite,11200
